井名	深度	SH	SS	RT	RT	PERM2024	PERM	POR2024	POR	SW	SW2024	AC	SP	CAL	GR	DEN	CNL	RT	解释结论	层位
耿181	2371.375	99.9	0.1	10.18	10.452	0.0	0.01	0.0	0.1	99.9	0.0	253.614	108.343	21.774	154.634	2.548	27.264	10.18		长4+5!1^(1_1)
耿181	2371.500	99.9	0.1	10.459	10.599	0.0	0.01	0.0	0.1	99.9	0.0	250.266	108.272	21.766	162.033	2.548	27.213	10.459		长4+5!1^(1_1)
耿181	2371.625	99.9	0.1	10.721	10.817	0.0	0.01	0.0	0.1	99.9	0.0	247.366	108.167	21.762	163.391	2.549	26.413	10.721		长4+5!1^(1_1)
耿181	2371.750	99.9	0.1	10.892	10.986	0.0	0.01	0.0	0.1	99.9	0.0	245.8	108.028	21.773	156.451	2.556	25.005	10.892		长4+5!1^(1_1)
耿181	2371.875	99.9	0.1	10.935	11.024	0.0	0.01	0.0	0.1	99.9	0.0	245.057	107.855	21.8	146.75	2.569	23.897	10.935		长4+5!1^(1_1)
耿181	2372.000	99.9	0.1	10.852	10.886	0.0	0.01	0.0	0.1	99.9	0.0	245.359	107.645	21.845	140.055	2.589	24.194	10.852		长4+5!1^(1_1)
耿181	2372.125	98.522	1.478	10.676	10.558	0.0	0.01	0.0	0.1	99.9	0.0	247.169	107.392	21.907	139.885	2.618	26.117	10.676		长4+5!1^(1_1)
耿181	2372.250	99.9	0.1	10.489	10.149	0.0	0.01	0.0	0.1	99.9	0.0	250.426	107.104	21.962	146.718	2.63	27.394	10.489		长4+5!1^(1_1)
耿181	2372.375	99.9	0.1	10.343	9.768	0.0	0.01	0.0	0.1	99.9	0.0	253.987	106.783	21.989	157.29	2.622	27.037	10.343		长4+5!1^(1_1)
耿181	2372.500	99.9	0.1	10.266	9.525	0.0	0.01	0.0	0.1	99.9	0.0	257.042	106.433	21.976	164.066	2.595	26.051	10.266		长4+5!1^(1_1)
耿181	2372.625	99.9	0.1	10.271	9.527	0.0	0.01	0.0	0.1	99.9	0.0	258.133	106.056	21.926	159.056	2.571	26.091	10.271		长4+5!1^(1_1)
耿181	2372.750	99.9	0.1	10.332	9.729	0.0	0.01	0.0	0.1	99.9	0.0	256.432	105.665	21.863	150.511	2.561	27.149	10.332		长4+5!1^(1_1)
耿181	2372.875	99.9	0.1	10.442	10.067	0.0	0.01	0.0	0.1	99.9	0.0	252.774	105.266	21.796	147.909	2.564	28.294	10.442		长4+5!1^(1_1)
耿181	2373.000	99.9	0.1	10.61	10.472	0.0	0.01	0.0	0.1	99.9	0.0	248.154	104.867	21.716	152.489	2.579	28.284	10.61		长4+5!1^(1_1)
耿181	2373.125	99.9	0.1	10.88	10.922	0.0	0.01	0.0	0.1	99.9	0.0	242.645	104.482	21.651	153.317	2.596	26.135	10.88		长4+5!1^(1_1)
耿181	2373.250	99.9	0.1	11.282	11.442	0.0	0.01	0.0	0.1	99.9	0.0	237.235	104.12	21.598	145.522	2.596	23.162	11.283		长4+5!1^(1_1)
耿181	2373.375	91.585	8.415	11.867	12.091	0.0	0.01	0.0	0.1	99.9	0.0	232.675	103.79	21.568	135.618	2.589	20.962	11.867		长4+5!1^(1_1)
耿181	2373.500	78.659	21.341	12.658	12.925	0.0	0.01	0.0	0.1	99.9	0.0	228.74	103.5	21.559	127.418	2.584	19.861	12.658		长4+5!1^(1_1)
耿181	2373.625	69.274	30.726	13.628	14.01	0.0	0.01	0.0	0.1	99.9	0.0	225.615	103.27	21.56	121.086	2.585	19.44	13.628		长4+5!1^(1_1)
耿181	2373.750	61.838	38.162	14.592	15.244	0.0	0.01	0.0	0.1	99.9	0.0	223.309	103.097	21.564	115.659	2.589	18.915	14.593		长4+5!1^(1_1)
耿181	2373.875	57.502	42.498	15.378	16.455	0.0	0.01	0.0	0.1	99.9	0.0	221.279	102.989	21.567	112.314	2.597	18.039	15.378		长4+5!1^(1_1)
耿181	2374.000	57.327	42.673	15.835	17.377	0.0	0.01	0.0	0.1	99.9	0.0	219.499	102.948	21.569	112.175	2.608	17.18	15.835		长4+5!1^(1_1)
耿181	2374.125	59.577	40.423	15.824	17.571	0.0	0.01	0.0	0.1	99.9	0.0	219.72	102.988	21.568	113.939	2.624	17.395	15.824		长4+5!1^(1_1)
