井名	深度	GR	SP	SH	AT90	AC	PERM	POR	SW	DEN	RT	解释结论	层位
地201-59	2198.375	120.558	80.343	65.973	7.097	283.568	0.010	0.100	99.900	2.227	7.097	水层	chang3
地201-59	2198.500	122.685	80.508	68.552	7.050	259.813	0.010	0.100	99.900	2.262	7.050	水层	chang3
地201-59	2198.625	121.486	80.775	67.090	7.658	239.860	0.010	0.100	99.900	2.309	7.658	水层	chang3
地201-59	2198.750	117.200	81.158	62.033	8.975	229.939	0.010	0.100	99.900	2.355	8.975	水层	chang3
地201-59	2198.875	111.969	81.658	56.206	10.930	228.146	0.010	0.100	99.900	2.400	10.930	水层	chang3
地201-59	2199.000	107.930	82.251	51.950	13.700	230.824	0.010	0.100	99.900	2.453	13.700	水层	chang3
地201-59	2199.125	110.261	82.912	54.380	17.431	235.586	0.010	0.100	99.900	2.512	17.431		chang3
地201-59	2199.250	115.000	83.605	59.537	20.475	241.330	0.010	0.100	99.900	2.563	20.475		chang3
地201-59	2199.375	118.906	84.281	64.015	20.628	248.121	0.010	0.100	99.900	2.590	20.628		chang3
地201-59	2199.500	121.384	84.895	66.967	17.961	256.406	0.010	0.100	99.900	2.590	17.961		chang3
地201-59	2199.625	123.366	85.417	69.392	15.178	266.479	0.010	0.100	99.900	2.577	15.178		chang4+5
地201-59	2199.750	128.174	85.818	75.522	13.286	276.237	0.010	0.100	99.900	2.557	13.286		chang4+5
地201-59	2199.875	136.876	86.086	87.562	12.546	281.785	0.010	0.100	99.900	2.534	12.546		chang4+5
地201-59	2200.000	145.191	86.240	99.900	12.664	279.349	0.010	0.100	99.900	2.514	12.664		chang4+5
地201-59	2200.125	146.898	86.288	99.900	13.454	267.649	0.010	0.100	99.900	2.510	13.454		chang4+5
地201-59	2200.250	141.213	86.237	94.050	14.586	252.846	0.010	0.100	99.900	2.526	14.586		chang4+5
地201-59	2200.375	130.541	86.094	78.673	15.356	241.085	0.010	0.100	99.900	2.559	15.356		chang4+5
地201-59	2200.500	117.494	85.873	62.372	15.228	235.628	0.010	0.100	99.900	2.602	15.228		chang4+5
地201-59	2200.625	112.485	85.573	56.764	14.257	235.964	0.010	0.100	99.900	2.643	14.257		chang4+5
地201-59	2200.750	113.833	85.183	58.241	13.306	237.477	0.010	0.100	99.900	2.664	13.306		chang4+5
地201-59	2200.875	113.771	84.700	58.171	12.846	237.370	0.010	0.100	99.900	2.657	12.846		chang4+5
地201-59	2201.000	109.190	84.128	53.255	13.009	235.064	0.010	0.100	99.900	2.630	13.009		chang4+5
地201-59	2201.125	100.907	83.472	45.028	13.422	231.481	0.010	0.100	99.900	2.600	13.422		chang4+5
地201-59	2201.250	89.712	82.738	35.135	13.720	228.079	0.010	0.100	99.900	2.575	13.720		chang4+5
地201-59	2201.375	82.904	81.943	29.740	13.602	225.590	0.010	0.100	99.900	2.556	13.602		chang4+5
地201-59	2201.500	82.806	81.116	29.666	13.162	224.460	0.010	0.100	99.900	2.544	13.162		chang4+5
地201-59	2201.625	81.872	80.282	28.960	12.566	225.068	0.010	0.100	99.900	2.536	12.566		chang4+5
地201-59	2201.750	83.142	79.469	29.921	12.020	226.687	0.010	0.100	99.900	2.535	12.020		chang4+5
地201-59	2201.875	91.753	78.707	36.840	11.651	228.204	0.010	0.100	99.900	2.541	11.651		chang4+5
地201-59	2202.000	101.685	78.007	45.766	11.475	228.545	0.010	0.100	99.900	2.556	11.475		chang4+5
地201-59	2202.125	106.019	77.377	50.008	11.419	227.031	0.010	0.100	99.900	2.575	11.419		chang4+5
地201-59	2202.250	104.213	76.818	48.213	11.397	224.241	0.010	0.100	99.900	2.592	11.397		chang4+5
地201-59	2202.375	99.395	76.313	43.612	11.444	220.837	0.010	0.100	99.900	2.603	11.444		chang4+5
地201-59	2202.500	96.770	75.838	41.215	11.692	217.224	0.010	0.100	99.900	2.604	11.692		chang4+5
地201-59	2202.625	95.599	75.370	40.171	12.188	213.308	0.010	0.100	99.900	2.599	12.188		chang4+5
地201-59	2202.750	95.009	74.889	39.650	12.964	208.856	0.010	0.100	99.900	2.597	12.964		chang4+5
地201-59	2202.875	92.928	74.381	37.842	14.137	203.977	0.010	0.100	99.900	2.601	14.137		chang4+5
地201-59	2203.000	90.209	73.845	35.546	15.774	199.205	0.010	0.100	99.900	2.611	15.774		chang4+5
地201-59	2203.125	86.936	73.283	32.882	17.812	195.314	0.010	0.100	99.900	2.622	17.812		chang4+5
地201-59	2203.250	86.519	72.703	32.549	19.689	192.551	0.010	0.100	99.900	2.633	19.689		chang4+5
地201-59	2203.375	85.746	72.112	31.938	20.623	190.968	0.010	0.100	99.900	2.637	20.623		chang4+5
地201-59	2203.500	80.822	71.517	28.177	20.319	190.686	0.010	0.100	99.900	2.631	20.319		chang4+5
