井名	深度	GR	SP	SH	RT	AC	PERM	POR	SW	CNL	DEN	RT.1	解释结论	层位
地200-47	2270.375	118.899	44.628	80.393	14.918	253.728	0.01	0.1	99.9	23.222	2.556	14.86		chang3
地200-47	2270.500	109.575	45.533	66.293	15.804	245.242	0.01	0.1	99.9	21.851	2.57	15.659		chang3
地200-47	2270.625	96.862	46.466	48.032	17.107	237.395	0.01	0.1	99.9	20.337	2.579	17.041		chang3
地200-47	2270.750	90.407	47.429	38.847	17.371	236.991	0.01	0.1	99.9	20.125	2.567	17.447		chang3
地200-47	2270.875	98.1	48.414	46.544	16.306	249.514	0.01	0.1	99.9	21.539	2.534	16.463		chang3
地200-47	2271.000	120.143	49.398	74.361	14.613	270.493	0.01	0.1	99.9	24.381	2.497	14.775		chang3
地200-47	2271.125	146.408	50.344	99.9	12.897	287.16	0.01	0.1	99.9	27.255	2.48	13.054		chang4+5
地200-47	2271.250	167.105	51.21	99.9	11.333	294.227	0.01	0.1	99.9	28.04	2.496	11.454		chang4+5
地200-47	2271.375	177.133	51.958	99.9	10.233	291.371	0.01	0.1	99.9	26.337	2.537	10.292		chang4+5
地200-47	2271.500	179.085	52.557	99.9	9.82	281.456	0.01	0.1	99.9	24.543	2.575	9.807		chang4+5
地200-47	2271.625	175.471	52.993	99.9	10.123	268.516	0.01	0.1	99.9	23.723	2.597	10.054		chang4+5
地200-47	2271.750	167.657	53.278	99.9	10.88	256.301	0.01	0.1	99.9	23.506	2.604	10.803		chang4+5
地200-47	2271.875	156.309	53.427	99.9	11.602	245.704	0.01	0.1	99.9	22.701	2.612	11.557		chang4+5
地200-47	2272.000	142.971	53.473	99.9	11.999	236.205	0.01	0.1	99.9	20.831	2.627	11.981		chang4+5
地200-47	2272.125	130.796	53.453	97.56	12.146	227.699	0.01	0.1	99.9	18.583	2.645	12.141		chang4+5
地200-47	2272.250	122.614	53.394	86.39	12.156	222.664	0.01	0.1	99.9	16.957	2.662	12.164		chang4+5
地200-47	2272.375	120.242	53.318	81.114	12.041	223.087	0.01	0.1	99.9	16.455	2.674	12.059		chang4+5
地200-47	2272.500	122.816	53.233	85.276	11.879	226.579	0.01	0.1	99.9	17.167	2.679	11.889		chang4+5
地200-47	2272.625	127.082	53.14	93.575	11.85	230.268	0.01	0.1	99.9	18.739	2.676	11.834		chang4+5
地200-47	2272.750	129.431	53.031	98.794	12.039	232.817	0.01	0.1	99.9	20.559	2.664	12.017		chang4+5
地200-47	2272.875	128.86	52.904	98.179	12.159	234.067	0.01	0.1	99.9	21.566	2.645	12.174		chang4+5
地200-47	2273.000	125.839	52.761	92.521	11.818	233.866	0.01	0.1	99.9	21.304	2.627	11.892		chang4+5
地200-47	2273.125	121.636	52.615	84.643	11.003	232.478	0.01	0.1	99.9	20.244	2.615	11.085		chang4+5
地200-47	2273.250	117.496	52.486	77.289	10.248	230.736	0.01	0.1	99.9	19.275	2.611	10.289		chang4+5
地200-47	2273.375	113.721	52.399	70.981	9.959	228.746	0.01	0.1	99.9	18.81	2.613	9.95		chang4+5
地200-47	2273.500	110.301	52.374	65.575	10.132	226.412	0.01	0.1	99.9	19.002	2.617	10.096		chang4+5
