井名	深度	GR	SP	SH	SS	IR4A	AC	PERM2024	PERM	POR2024	POR	SW	SW2024	DEN	RT	解释结论	层位
地92-95	2224.625	136.395	81.016	65.052	34.948	10.338	235.189	0.000	0.010	0.000	0.100	99.900	0.000	2.621	10.309		
地92-95	2224.750	116.865	80.993	46.893	53.107	10.296	230.675	0.000	0.010	0.000	0.100	99.900	0.000	2.622	10.254		
地92-95	2224.875	100.570	80.983	35.726	64.274	10.235	226.440	0.000	0.010	0.000	0.100	99.900	0.000	2.625	10.182		
地92-95	2225.000	89.443	80.986	33.220	66.780	10.157	223.822	0.000	0.010	0.000	0.100	99.900	0.000	2.630	10.125		
地92-95	2225.125	90.283	80.995	37.681	62.319	10.110	223.695	0.000	0.010	0.000	0.100	99.900	0.000	2.636	10.081		
地92-95	2225.250	97.879	81.008	45.919	54.081	10.068	225.184	0.000	0.010	0.000	0.100	99.900	0.000	2.643	10.098		
地92-95	2225.375	108.095	81.017	55.983	44.017	10.114	227.496	0.000	0.010	0.000	0.100	99.900	0.000	2.647	10.129		
地92-95	2225.500	118.455	81.024	66.757	33.243	10.136	230.206	0.000	0.010	0.000	0.100	99.900	0.000	2.648	10.014		
地92-95	2225.625	128.095	81.032	78.885	21.115	9.953	233.610	0.000	0.010	0.000	0.100	99.900	0.000	2.642	9.782		
地92-95	2225.750	138.122	81.037	94.001	5.999	9.702	238.187	0.000	0.010	0.000	0.100	99.900	0.000	2.627	9.384		
地92-95	2225.875	151.066	81.035	99.900	0.100	9.232	244.173	0.000	0.010	0.000	0.100	99.900	0.000	2.604	9.044		
地92-95	2226.000	163.390	81.026	99.900	0.100	8.961	251.089	0.000	0.010	0.000	0.100	99.900	0.000	2.576	8.849		长4+5!1^(1_1)
地92-95	2226.125	177.623	81.006	99.900	0.100	8.799	257.403	0.000	0.010	0.000	0.100	99.900	0.000	2.550	8.705		长4+5!1^(1_1)
地92-95	2226.250	188.928	80.977	99.900	0.100	8.663	261.545	0.000	0.010	0.000	0.100	99.900	0.000	2.531	8.647		长4+5!1^(1_1)
地92-95	2226.375	187.369	80.939	99.900	0.100	8.642	262.677	0.000	0.010	0.000	0.100	99.900	0.000	2.523	8.757		长4+5!1^(1_1)
地92-95	2226.500	173.470	80.892	99.900	0.100	8.815	261.067	0.000	0.010	0.000	0.100	99.900	0.000	2.528	9.030		长4+5!1^(1_1)
地92-95	2226.625	155.871	80.837	90.997	9.003	9.133	258.283	0.000	0.010	0.000	0.100	99.900	0.000	2.543	9.152		长4+5!1^(1_1)
地92-95	2226.750	141.032	80.776	77.635	22.365	9.155	256.663	0.000	0.010	0.000	0.100	99.900	0.000	2.560	9.048		长4+5!1^(1_1)
地92-95	2226.875	130.797	80.713	69.306	30.694	8.995	257.167	0.000	0.010	0.000	0.100	99.900	0.000	2.571	8.943		长4+5!1^(1_1)
地92-95	2227.000	125.820	80.650	67.317	32.683	8.920	258.996	0.000	0.010	0.000	0.100	99.900	0.000	2.571	9.054		长4+5!1^(1_1)
地92-95	2227.125	125.681	80.589	64.105	35.895	9.122	259.453	0.000	0.010	0.000	0.100	99.900	0.000	2.561	9.434		长4+5!1^(1_1)
地92-95	2227.250	121.412	80.535	56.415	43.585	9.584	256.557	0.000	0.010	0.000	0.100	99.900	0.000	2.550	9.808		长4+5!1^(1_1)
地92-95	2227.375	112.873	80.491	45.790	54.210	9.909	250.140	0.000	0.010	0.000	0.100	99.900	0.000	2.545	10.109		长4+5!1^(1_1)
地92-95	2227.500	100.737	80.460	36.985	63.015	10.201	241.709	0.000	0.010	0.000	0.100	99.900	0.000	2.554	10.394		长4+5!1^(1_1)
地92-95	2227.625	91.696	80.447	33.201	66.799	10.483	233.852	0.000	0.010	0.000	0.100	99.900	0.000	2.576	10.584		长4+5!1^(1_1)
地92-95	2227.750	89.084	80.456	34.242	65.758	10.628	228.263	0.000	0.010	0.000	0.100	99.900	0.000	2.602	10.712		长4+5!1^(1_1)
地92-95	2227.875	92.230	80.487	36.077	63.923	10.751	225.292	0.000	0.010	0.000	0.100	99.900	0.000	2.623	10.800		长4+5!1^(1_1)
地92-95	2228.000	94.035	80.544	34.912	65.088	10.821	224.450	0.000	0.010	0.000	0.100	99.900	0.000	2.635	10.864		长4+5!1^(1_1)
地92-95	2228.125	90.975	80.631	33.023	66.977	10.883	224.925	0.000	0.010	0.000	0.100	99.900	0.000	2.637	10.964		长4+5!1^(1_1)
地92-95	2228.250	88.977	80.749	32.548	67.452	11.003	225.510	0.000	0.010	0.000	0.100	99.900	0.000	2.635	11.108		长4+5!1^(1_1)
地92-95	2228.375	89.014	80.896	32.642	67.358	11.157	225.509	0.000	0.010	0.000	0.100	99.900	0.000	2.633	11.243		长4+5!1^(1_1)
地92-95	2228.500	89.136	81.073	32.533	67.467	11.282	224.703	0.000	0.010	0.000	0.100	99.900	0.000	2.632	11.412		长4+5!1^(1_1)
地92-95	2228.625	88.862	81.282	30.497	69.503	11.474	223.338	0.000	0.010	0.000	0.100	99.900	0.000	2.632	11.607		长4+5!1^(1_1)
地92-95	2228.750	84.913	81.520	28.002	71.998	11.668	221.861	0.000	0.010	0.000	0.100	99.900	0.000	2.633	11.834		长4+5!1^(1_1)
地92-95	2228.875	81.802	81.784	27.837	72.163	11.912	220.239	0.000	0.010	0.000	0.100	99.900	0.000	2.634	12.145		长4+5!1^(1_1)
地92-95	2229.000	82.983	82.071	29.481	70.519	12.254	218.169	0.000	0.010	0.000	0.100	99.900	0.000	2.636	12.382		长4+5!1^(1_1)
