井名	深度	GR	SP	SH	AT90	AC	PERM	POR	SW	DEN	RT	解释结论	层位
地213-67	2217.750	81.535	82.095	15.143	10.099	223.427	0.010	9.265	71.962	2.499	9.838		chang3
地213-67	2217.875	83.350	83.190	15.832	11.281	224.522	0.010	9.499	66.780	2.509	10.922		chang3
地213-67	2218.000	87.934	84.453	18.050	12.687	226.811	1.367	10.001	59.796	2.506	12.417		chang3
地213-67	2218.125	94.625	85.828	39.775	13.421	231.235	0.010	0.100	99.900	2.475	13.543		chang3
地213-67	2218.250	104.079	87.262	51.576	12.706	238.873	0.010	0.100	99.900	2.420	13.036		chang3
地213-67	2218.375	114.249	88.706	68.124	11.401	249.083	0.010	0.100	99.900	2.357	11.663		chang4+5
地213-67	2218.500	119.313	90.101	79.012	10.519	260.447	0.010	0.100	99.900	2.300	10.570		chang4+5
地213-67	2218.625	118.470	91.410	76.913	10.469	270.589	0.010	0.100	99.900	2.255	10.357		chang4+5
地213-67	2218.750	120.107	92.608	78.354	11.061	276.475	0.010	0.100	99.900	2.223	10.823		chang4+5
地213-67	2218.875	125.682	93.685	89.937	12.186	277.148	0.010	0.100	99.900	2.210	11.815		chang4+5
地213-67	2219.000	127.673	94.629	96.289	13.841	273.206	0.010	0.100	99.900	2.231	13.360		chang4+5
地213-67	2219.125	123.913	95.465	88.646	15.868	266.782	0.010	0.100	99.900	2.285	15.365		chang4+5
地213-67	2219.250	120.557	96.215	81.065	17.716	260.617	0.010	0.100	99.900	2.342	17.456		chang4+5
地213-67	2219.375	120.135	96.896	80.458	18.402	256.263	0.010	0.100	99.900	2.387	18.540		chang4+5
地213-67	2219.500	118.844	97.517	78.759	17.531	253.537	0.010	0.100	99.900	2.422	17.966		chang4+5
地213-67	2219.625	116.118	98.093	73.016	15.751	251.414	0.010	0.100	99.900	2.446	16.157		chang4+5
地213-67	2219.750	116.021	98.633	72.823	14.273	248.954	0.010	0.100	99.900	2.467	14.468		chang4+5
地213-67	2219.875	115.425	99.138	72.789	13.650	246.087	0.010	0.100	99.900	2.492	13.657		chang4+5
地213-67	2220.000	111.244	99.604	66.710	13.682	243.136	0.010	0.100	99.900	2.522	13.629		chang4+5
地213-67	2220.125	104.218	100.032	55.709	13.857	240.412	0.010	0.100	99.900	2.552	13.852		chang4+5
地213-67	2220.250	98.305	100.418	46.868	13.831	238.144	0.010	0.100	99.900	2.578	13.870		chang4+5
地213-67	2220.375	95.404	100.756	42.669	13.677	236.332	0.010	0.100	99.900	2.591	13.707		chang4+5
地213-67	2220.500	94.694	101.032	41.655	13.582	234.890	0.010	0.100	99.900	2.600	13.582		chang4+5
地213-67	2220.625	94.598	101.250	41.512	13.602	233.665	0.010	0.100	99.900	2.608	13.583		chang4+5
地213-67	2220.750	94.732	101.409	41.530	13.670	232.564	0.010	0.100	99.900	2.614	13.660		chang4+5
地213-67	2220.875	95.443	101.514	42.471	13.701	231.662	0.010	0.100	99.900	2.618	13.704		chang4+5
地213-67	2221.000	95.719	101.563	42.993	13.692	231.178	0.010	0.100	99.900	2.621	13.691		chang4+5
地213-67	2221.125	95.780	101.567	42.392	13.729	231.242	0.010	0.100	99.900	2.623	13.694		chang4+5
地213-67	2221.250	98.567	101.531	46.085	13.915	231.582	0.010	0.100	99.900	2.626	13.837		chang4+5
地213-67	2221.375	100.269	101.457	48.848	14.289	231.374	0.010	0.100	99.900	2.627	14.162		chang4+5
地213-67	2221.500	99.369	101.344	48.350	14.878	229.880	0.010	0.100	99.900	2.621	14.690		chang4+5
地213-67	2221.625	95.274	101.200	43.611	15.700	226.951	0.010	0.100	99.900	2.612	15.473		chang4+5
地213-67	2221.750	88.885	101.031	36.037	16.598	223.543	0.010	0.100	99.900	2.602	16.415		chang4+5
地213-67	2221.875	83.262	100.848	28.985	17.143	221.484	0.010	0.100	99.900	2.595	17.174		chang4+5
地213-67	2222.000	83.540	100.665	28.338	16.842	221.821	0.010	0.100	99.900	2.587	17.042		chang4+5
地213-67	2222.125	87.854	100.494	33.682	16.028	224.190	0.010	0.100	99.900	2.582	16.209		chang4+5
地213-67	2222.250	87.415	100.346	33.911	15.495	226.692	0.010	0.100	99.900	2.583	15.453		chang4+5
地213-67	2222.375	83.705	100.227	29.831	15.922	227.147	0.010	0.100	99.900	2.586	15.627		chang4+5
地213-67	2222.500	80.551	100.141	26.781	17.377	224.767	0.010	0.100	99.900	2.585	16.856		chang4+5
地213-67	2222.625	76.869	100.082	23.187	19.669	220.138	0.010	0.100	99.900	2.583	19.026		chang4+5
地213-67	2222.750	74.082	100.042	20.342	22.283	214.801	0.010	0.100	99.900	2.580	21.704		chang4+5
地213-67	2222.875	73.758	100.013	19.647	24.521	210.469	0.010	0.100	99.900	2.577	24.115		chang4+5
地213-67	2223.000	76.092	99.984	21.554	25.922	208.064	0.010	0.100	99.900	2.576	25.802		chang4+5
地213-67	2223.125	79.319	99.948	24.497	26.138	207.997	0.010	0.100	99.900	2.577	26.302		chang4+5
地213-67	2223.250	82.447	99.904	27.750	25.279	210.179	0.010	0.100	99.900	2.581	25.618		chang4+5
地213-67	2223.375	83.862	99.854	29.710	23.899	213.366	0.010	0.100	99.900	2.590	24.209		chang4+5
地213-67	2223.500	82.884	99.807	28.363	22.718	216.483	0.010	0.100	99.900	2.601	22.917		chang4+5
地213-67	2223.625	83.972	99.773	29.216	22.003	218.666	0.010	0.100	99.900	2.609	22.089		chang4+5
地213-67	2223.750	85.530	99.769	31.690	21.758	219.501	0.010	0.100	99.900	2.618	21.732		chang4+5
地213-67	2223.875	82.371	99.807	28.841	21.900	219.500	0.010	0.100	99.900	2.627	21.841		chang4+5
地213-67	2224.000	77.420	99.909	23.676	22.059	219.269	0.010	0.100	99.900	2.633	22.087		chang4+5
地213-67	2224.125	75.542	100.074	20.931	21.752	219.418	0.010	0.100	99.900	2.636	21.971		chang4+5
地213-67	2224.250	79.997	100.300	24.720	20.757	220.361	0.010	0.100	99.900	2.633	21.059		chang4+5
地213-67	2224.375	86.046	100.582	30.814	19.531	221.832	0.010	0.100	99.900	2.626	19.802		chang4+5
地213-67	2224.500	91.028	100.911	37.028	18.475	223.319	0.010	0.100	99.900	2.626	18.673		chang4+5
地213-67	2224.625	92.570	101.271	38.633	17.677	224.323	0.010	0.100	99.900	2.627	17.850		chang4+5
地213-67	2224.750	95.027	101.641	41.467	16.974	224.701	0.010	0.100	99.900	2.629	17.132		chang4+5
地213-67	2224.875	97.304	102.007	45.122	16.383	224.937	0.010	0.100	99.900	2.631	16.475		chang4+5
地213-67	2225.000	95.073	102.347	43.702	16.077	225.524	0.010	0.100	99.900	2.630	16.092		chang4+5
地213-67	2225.125	86.528	102.647	34.212	16.015	226.850	0.010	0.100	99.900	2.623	16.029		chang4+5
地213-67	2225.250	76.015	102.898	23.048	15.798	229.183	0.010	0.100	99.900	2.605	15.969		chang4+5
地213-67	2225.375	69.578	103.094	16.507	14.966	232.205	0.010	0.100	99.900	2.577	15.257		chang4+5
地213-67	2225.500	70.556	103.226	16.072	13.807	235.365	0.010	0.100	99.900	2.548	14.047		chang4+5
地213-67	2225.625	79.582	103.307	23.811	13.027	238.046	0.010	0.100	99.900	2.531	13.048		chang4+5
地213-67	2225.750	87.803	103.347	33.454	13.073	240.081	0.010	0.100	99.900	2.516	12.962		chang4+5
地213-67	2225.875	88.860	103.359	34.773	13.461	242.033	0.010	0.100	99.900	2.502	13.425		chang4+5
地213-67	2226.000	90.400	103.355	35.124	13.424	244.120	0.010	0.100	99.900	2.491	13.577		chang4+5
地213-67	2226.125	98.663	103.346	44.615	12.826	245.833	0.010	0.100	99.900	2.482	12.939		chang4+5
地213-67	2226.250	107.950	103.338	58.195	12.517	246.227	0.010	0.100	99.900	2.481	12.467		chang4+5
地213-67	2226.375	114.200	103.332	68.183	12.804	245.315	0.010	0.100	99.900	2.498	12.674		chang4+5
地213-67	2226.500	119.275	103.325	78.112	13.253	243.739	0.010	0.100	99.900	2.534	13.216		chang4+5
地213-67	2226.625	119.996	103.313	81.217	13.346	242.180	0.010	0.100	99.900	2.568	13.369		chang4+5
地213-67	2226.750	115.283	103.294	73.392	13.378	240.744	0.010	0.100	99.900	2.590	13.275		chang4+5
地213-67	2226.875	109.419	103.266	62.382	13.960	239.044	0.010	0.100	99.900	2.608	13.702		chang4+5
地213-67	2227.000	108.636	103.232	59.916	15.092	237.020	0.010	0.100	99.900	2.626	14.774		chang4+5
地213-67	2227.125	112.559	103.193	65.391	16.367	235.000	0.010	0.100	99.900	2.642	16.099		chang4+5
地213-67	2227.250	117.697	103.152	75.815	17.438	233.249	0.010	0.100	99.900	2.656	17.215		chang4+5
地213-67	2227.375	116.767	103.109	75.468	18.320	231.491	0.010	0.100	99.900	2.663	18.142		chang4+5
地213-67	2227.500	112.126	103.061	67.305	18.991	229.523	0.010	0.100	99.900	2.663	18.884		chang4+5
地213-67	2227.625	108.696	103.002	61.100	19.446	227.941	0.010	0.100	99.900	2.654	19.330		chang4+5
地213-67	2227.750	108.225	102.927	59.640	19.990	228.715	0.010	0.100	99.900	2.633	19.815		chang4+5
地213-67	2227.875	110.271	102.825	62.829	20.522	233.832	0.010	0.100	99.900	2.595	20.544		chang4+5
地213-67	2228.000	112.854	102.686	65.905	19.909	244.342	0.010	0.100	99.900	2.542	20.452		chang4+5
地213-67	2228.125	119.653	102.509	76.116	17.307	258.865	0.010	0.100	99.900	2.478	18.191		chang4+5
地213-67	2228.250	130.282	102.294	97.544	13.807	272.623	0.010	0.100	99.900	2.409	14.513		chang4+5
地213-67	2228.375	137.784	102.051	99.900	11.197	279.802	0.010	0.100	99.900	2.361	11.573		chang4+5
地213-67	2228.500	136.615	101.787	99.900	9.927	277.656	0.010	0.100	99.900	2.368	10.009		chang4+5
地213-67	2228.625	127.389	101.519	98.189	9.809	267.597	0.010	0.100	99.900	2.438	9.667		chang4+5
地213-67	2228.750	117.336	101.257	76.464	10.456	254.478	0.010	0.100	99.900	2.517	10.256		chang4+5
地213-67	2228.875	113.193	101.010	68.327	11.246	243.622	0.010	0.100	99.900	2.577	11.089		chang4+5
地213-67	2229.000	112.121	100.784	66.509	11.851	236.424	0.010	0.100	99.900	2.610	11.740		chang4+5
地213-67	2229.125	111.071	100.577	65.060	12.317	231.807	0.010	0.100	99.900	2.624	12.204		chang4+5
地213-67	2229.250	109.433	100.388	62.127	12.780	228.051	0.010	0.100	99.900	2.625	12.677		chang4+5
地213-67	2229.375	109.113	100.216	61.363	13.179	224.547	0.010	0.100	99.900	2.619	13.105		chang4+5
地213-67	2229.500	109.194	100.065	62.265	13.481	222.025	0.010	0.100	99.900	2.613	13.410		chang4+5
地213-67	2229.625	106.336	99.939	58.386	13.789	221.242	0.010	0.100	99.900	2.605	13.706		chang4+5
地213-67	2229.750	102.182	99.840	51.854	14.132	222.202	0.010	0.100	99.900	2.598	14.051		chang4+5
地213-67	2229.875	100.627	99.768	48.881	14.449	223.602	0.010	0.100	99.900	2.595	14.388		chang4+5
