井名	深度	GR	SP	SH	AT90	AC	PERM	POR	SW	DEN	RT	解释结论	层位
地209-43	2272.000	64.162	48.033	11.408	6.785	234.632	1.517	12.135	72.643	2.415	6.785		chang3
地209-43	2272.125	61.571	48.125	10.427	7.050	233.732	1.461	11.907	72.489	2.419	7.050		chang3
地209-43	2272.250	57.859	48.204	9.097	7.179	232.756	1.559	11.660	73.204	2.419	7.179		chang3
地209-43	2272.375	54.578	48.278	7.995	7.021	232.295	1.733	11.544	74.697	2.412	7.021		chang3
地209-43	2272.500	55.267	48.350	8.237	6.642	232.667	1.739	11.638	76.239	2.404	6.642		chang3
地209-43	2272.625	58.095	48.429	9.234	6.280	233.831	1.708	11.932	76.662	2.400	6.280		chang3
地209-43	2272.750	60.797	48.524	10.245	5.984	235.321	1.745	12.309	76.369	2.421	5.984	油层	chang3
地209-43	2272.875	58.416	48.641	9.471	5.723	236.191	2.087	12.529	76.853	2.439	5.723	油层	chang3
地209-43	2273.000	51.544	48.790	7.207	5.513	235.683	2.758	12.400	79.030	2.454	5.513	油层	chang3
地209-43	2273.125	47.270	48.978	5.811	5.385	233.543	2.858	11.860	83.245	2.460	5.385	油层	chang3
地209-43	2273.250	49.600	49.220	6.347	5.312	230.257	1.824	11.029	89.483	2.457	5.312	油层	chang3
地209-43	2273.375	53.150	49.520	7.285	5.239	227.208	1.105	10.258	96.179	2.450	5.239	油层	chang3
地209-43	2273.500	55.771	49.885	8.039	5.179	225.681	0.010	9.873	99.900	2.444	5.179	油层	chang3
地209-43	2273.625	56.978	50.329	8.462	5.165	226.282	0.834	10.025	98.899	2.440	5.165	油层	chang3
地209-43	2273.750	56.933	50.870	8.587	5.172	228.939	1.111	10.696	93.226	2.437	5.172	油层	chang3
地209-43	2273.875	55.401	51.509	8.287	5.170	232.793	1.749	11.670	86.204	2.430	5.170	油层	chang3
地209-43	2274.000	54.535	52.254	8.203	5.180	236.587	2.579	12.629	80.203	2.423	5.180	油层	chang3
地209-43	2274.125	53.307	53.120	7.942	5.240	239.215	3.429	13.293	76.143	2.421	5.240	油层	chang3
