井名	深度	GR	SP	SH	AT90	AC	PERM	POR	SW	CNL	DEN	RT	解释结论	层位
涧39	2261.625	120.959	69.826	81.995	7.601	275.8	0.01	0.1	99.9	26.389	2.311	7.6		chang4+5
涧39	2261.750	118.51	70.089	79.509	7.658	264.916	0.01	0.1	99.9	25.119	2.344	7.631		chang4+5
涧39	2261.875	115.729	70.365	74.276	8.212	254.12	0.01	0.1	99.9	24.931	2.405	8.148		chang4+5
涧39	2262.000	110.438	70.647	65.297	9.46	242.808	0.01	0.1	99.9	25.122	2.485	9.365		chang4+5
涧39	2262.125	104.737	70.921	58.195	11.255	232.544	0.01	0.1	99.9	24.902	2.565	11.167		chang4+5
涧39	2262.250	101.319	71.171	55.242	12.894	226.934	0.01	0.1	99.9	24.151	2.627	12.844		chang4+5
涧39	2262.375	100.072	71.385	54.447	13.825	225.27	0.01	0.1	99.9	23.339	2.66	13.804		chang4+5
涧39	2262.500	99.492	71.557	53.789	14.213	225.39	0.01	0.1	99.9	22.876	2.67	14.201		chang4+5
涧39	2262.625	99.74	71.695	54.601	14.445	225.935	0.01	0.1	99.9	22.774	2.668	14.435		chang4+5
涧39	2262.750	101.349	71.808	57.21	14.637	226.489	0.01	0.1	99.9	22.802	2.666	14.627		chang4+5
涧39	2262.875	104.033	71.902	61.043	14.832	226.305	0.01	0.1	99.9	22.75	2.665	14.812		chang4+5
涧39	2263.000	105.134	71.977	61.164	15.238	224.776	0.01	0.1	99.9	22.465	2.667	15.2		chang4+5
涧39	2263.125	102.925	72.03	56.771	15.95	222.425	0.01	0.1	99.9	21.99	2.669	15.906		chang4+5
涧39	2263.250	99.595	72.068	52.771	16.778	220.944	0.01	0.1	99.9	21.535	2.671	16.745		chang4+5
涧39	2263.375	97.194	72.109	50.493	17.384	221.029	0.01	0.1	99.9	21.076	2.671	17.374		chang4+5
涧39	2263.500	95.856	72.171	49.315	17.553	221.59	0.01	0.1	99.9	20.443	2.67	17.566		chang4+5
涧39	2263.625	94.561	72.27	47.681	17.313	220.589	0.01	0.1	99.9	19.678	2.669	17.329		chang4+5
涧39	2263.750	91.056	72.415	42.671	17.036	216.697	0.01	0.1	99.9	18.847	2.669	17.017		chang4+5
涧39	2263.875	86.654	72.59	38.278	17.436	212.046	0.01	0.1	99.9	17.833	2.672	17.361		chang4+5
涧39	2264.000	85.684	72.781	39.078	18.874	209.205	0.01	0.1	99.9	16.728	2.678	18.78		chang4+5
涧39	2264.125	89.729	72.978	45.113	20.597	209.6	0.01	0.1	99.9	16.134	2.686	20.571		chang4+5
涧39	2264.250	94.859	73.171	50.495	20.992	212.928	0.01	0.1	99.9	16.525	2.691	21.058		chang4+5
涧39	2264.375	98.531	73.359	54.149	19.722	216.675	0.01	0.1	99.9	17.895	2.692	19.805		chang4+5
涧39	2264.500	101.602	73.544	57.948	18.188	219.893	0.01	0.1	99.9	20.048	2.687	18.244		chang4+5
涧39	2264.625	105.848	73.732	64.33	17.125	224.516	0.01	0.1	99.9	23.069	2.676	17.192		chang4+5
涧39	2264.750	110.198	73.936	70.0	15.817	234.675	0.01	0.1	99.9	26.708	2.652	15.922		chang4+5
涧39	2264.875	112.3	74.158	71.519	13.844	247.739	0.01	0.1	99.9	30.047	2.618	13.936		chang4+5
涧39	2265.000	109.649	74.382	65.006	12.158	256.067	0.01	0.1	99.9	31.827	2.588	12.184		chang4+5
涧39	2265.125	105.361	74.578	59.564	11.753	253.995	0.01	0.1	99.9	30.99	2.574	11.68		chang4+5
涧39	2265.250	102.899	74.7	57.544	13.22	244.762	0.01	0.1	99.9	28.397	2.573	13.063		chang4+5
涧39	2265.375	102.966	74.73	58.745	16.213	239.283	0.01	0.1	99.9	25.918	2.574	16.043		chang4+5
涧39	2265.500	103.538	74.653	59.222	19.302	241.082	0.01	0.1	99.9	24.564	2.57	19.252		chang4+5
涧39	2265.625	104.389	74.461	60.651	20.141	245.763	0.01	0.1	99.9	23.865	2.555	20.212		chang4+5
涧39	2265.750	103.785	74.136	58.7	18.788	245.437	0.01	0.1	99.9	23.114	2.539	18.861		chang4+5
涧39	2265.875	100.803	73.711	54.02	17.458	239.259	0.01	0.1	99.9	22.303	2.532	17.468		chang4+5
涧39	2266.000	98.297	73.208	51.825	17.324	231.318	0.01	0.1	99.9	21.739	2.543	17.286		chang4+5
涧39	2266.125	96.689	72.65	50.088	18.069	225.951	0.01	0.1	99.9	21.531	2.57	18.007		chang4+5
涧39	2266.250	95.17	72.059	48.33	19.242	225.002	0.01	0.1	99.9	21.563	2.601	19.185		chang4+5
涧39	2266.375	94.812	71.457	48.635	20.286	226.546	0.01	0.1	99.9	21.786	2.625	20.265		chang4+5
涧39	2266.500	95.289	70.846	49.306	20.633	229.374	0.01	0.1	99.9	22.21	2.636	20.661		chang4+5
涧39	2266.625	94.367	70.216	47.352	20.052	233.037	0.01	0.1	99.9	22.508	2.635	20.138		chang4+5
涧39	2266.750	92.371	69.531	44.993	18.379	237.295	0.01	0.1	99.9	22.144	2.627	18.513		chang4+5
涧39	2266.875	88.944	68.758	40.653	15.863	240.471	0.01	0.1	99.9	20.725	2.615	15.985		chang4+5
涧39	2267.000	81.397	67.883	18.676	13.632	239.656	0.019	6.036	99.9	18.412	2.608	13.672	干层	chang4+5
涧39	2267.125	70.942	66.906	13.637	12.994	232.748	0.019	6.0	99.9	16.143	2.61	12.917	干层	chang4+5
涧39	2267.250	63.305	65.866	11.173	14.544	221.375	0.014	5.594	99.9	14.679	2.62	14.377	干层	chang4+5
涧39	2267.375	60.913	64.875	10.943	17.68	211.68	0.01	4.972	99.9	14.019	2.634	17.539	干层	chang4+5
涧39	2267.500	61.999	64.044	11.754	20.266	206.602	0.01	4.382	99.9	13.841	2.646	20.225	干层	chang4+5
涧39	2267.625	65.489	63.458	13.584	20.969	206.065	0.01	4.159	99.9	14.201	2.65	20.997	干层	chang4+5
涧39	2267.750	72.696	63.179	17.537	20.372	211.46	0.01	4.366	99.9	15.549	2.644	20.453	干层	chang4+5
涧39	2267.875	85.604	63.078	44.166	18.788	224.095	0.01	0.1	99.9	18.443	2.63	18.918		chang4+5
涧39	2268.000	98.779	63.02	58.368	16.337	241.291	0.01	0.1	99.9	22.832	2.612	16.456		chang4+5
