井名	深度	GR	SP	SH	AT90	AC	PERM	POR	SW	DEN	RT	解释结论	层位
地308-61	2335.125	122.185	63.673	68.322	11.040	259.936	0.010	0.100	99.900	2.615	11.047		chang4+5
地308-61	2335.250	118.082	63.660	60.218	11.278	253.042	0.010	0.100	99.900	2.620	11.407		chang4+5
地308-61	2335.375	109.910	63.541	50.710	11.778	245.121	0.010	0.100	99.900	2.620	11.986		chang4+5
地308-61	2335.500	105.012	63.330	48.060	12.421	238.843	0.010	0.100	99.900	2.622	12.665		chang4+5
地308-61	2335.625	107.924	63.040	54.204	13.167	235.207	0.010	0.100	99.900	2.625	13.448		chang4+5
地308-61	2335.750	114.968	62.674	62.612	14.153	233.994	0.010	0.100	99.900	2.625	14.548		chang4+5
地308-61	2335.875	119.594	62.236	66.089	15.389	233.330	0.010	0.100	99.900	2.618	15.860		chang4+5
地308-61	2336.000	119.131	61.731	63.279	16.630	231.489	0.010	0.100	99.900	2.605	17.063		chang4+5
地308-61	2336.125	115.328	61.166	58.065	17.757	228.411	0.010	0.100	99.900	2.586	18.147		chang4+5
地308-61	2336.250	109.755	60.546	51.568	19.078	225.525	0.010	0.100	99.900	2.565	19.601		chang4+5
地308-61	2336.375	105.378	59.877	48.157	20.971	223.876	0.010	0.100	99.900	2.548	21.740		chang4+5
地308-61	2336.500	102.354	59.163	45.441	23.235	223.319	0.010	0.100	99.900	2.537	24.073		chang4+5
地308-61	2336.625	101.674	58.406	45.933	25.006	223.262	0.010	0.100	99.900	2.535	25.529		chang4+5
地308-61	2336.750	102.613	57.619	47.065	26.042	223.495	0.010	0.100	99.900	2.536	26.330		chang4+5
地308-61	2336.875	102.249	56.824	45.882	27.462	224.218	0.010	0.100	99.900	2.533	28.097		chang4+5
地308-61	2337.000	99.187	56.038	42.072	30.961	225.547	0.010	0.100	99.900	2.522	32.568		chang4+5
地308-61	2337.125	93.898	55.271	19.863	37.586	227.253	0.622	11.626	52.771	2.506	40.401		chang4+5
地308-61	2337.250	88.808	54.534	18.223	47.000	228.627	0.649	11.737	46.732	2.493	50.702		chang4+5
地308-61	2337.375	84.453	53.831	16.660	56.233	228.887	0.643	11.714	43.269	2.488	59.335		chang4+5
地308-61	2337.500	80.239	53.173	15.003	62.755	227.498	0.597	11.516	42.044	2.489	64.674		chang4+5
地308-61	2337.625	76.443	52.584	13.483	67.930	224.341	0.518	11.149	41.606	2.495	69.756		chang4+5
地308-61	2337.750	74.685	52.098	12.817	74.324	219.815	0.427	10.670	41.127	2.511	76.886		chang4+5
地308-61	2337.875	74.424	51.730	12.440	81.045	215.166	0.355	10.235	40.906	2.536	83.378		chang4+5
