井名	深度	GR	SP	SH	SS	IR4A	AC	PERM2024	PERM	POR2024	POR	SW	SW2024	DEN	RT	解释结论	层位
地93-80	2190.125	111.262	74.317	37.668	62.332	14.420	234.429	0.000	0.010	0.000	0.100	99.900	0.000	2.582	14.470		
地93-80	2190.250	110.361	75.109	37.162	62.838	14.545	232.019	0.000	0.010	0.000	0.100	99.900	0.000	2.594	14.561		
地93-80	2190.375	110.047	75.592	36.530	63.470	14.586	229.907	0.000	0.010	0.000	0.100	99.900	0.000	2.597	14.606		
地93-80	2190.500	108.380	75.721	34.369	65.631	14.636	228.178	0.000	0.010	0.000	0.100	99.900	0.000	2.593	14.660		
地93-80	2190.625	103.397	75.541	25.487	74.513	14.696	226.547	0.084	0.278	7.297	4.756	84.233	0.474	2.586	14.737		
地93-80	2190.750	96.082	75.081	14.510	85.490	14.800	224.665	0.111	0.698	7.862	11.934	60.220	0.473	2.581	14.731	含油水层	
地93-80	2190.875	91.045	74.366	13.225	86.775	14.627	223.100	0.132	0.703	8.223	11.954	60.468	0.477	2.580	14.571	含油水层	
地93-80	2191.000	89.242	73.396	12.724	87.276	14.485	223.396	0.147	0.710	8.441	11.979	60.725	0.481	2.581	14.401	含油水层	
地93-80	2191.125	88.086	72.230	12.450	87.550	14.271	226.195	0.180	0.801	8.853	12.302	59.937	0.483	2.583	14.285	含油水层	
地93-80	2191.250	86.226	70.918	12.412	87.588	14.306	230.382	0.246	0.976	9.483	12.868	58.109	0.481	2.583	14.331	含油水层	
地93-80	2191.375	86.116	69.508	13.047	86.953	14.370	233.301	0.287	1.113	9.798	13.269	56.755	0.479	2.579	14.411	含油水层	
地93-80	2191.500	89.230	68.060	14.066	85.934	14.475	233.144	0.243	1.097	9.458	13.222	56.611	0.476	2.571	14.562	含油水层	
地93-80	2191.625	92.309	66.645	14.407	85.593	14.695	229.792	0.175	0.965	8.788	12.839	57.317	0.471	2.560	14.791	含油水层	
地93-80	2191.750	91.895	65.332	13.477	86.523	14.940	225.034	0.140	0.827	8.336	12.398	58.203	0.466	2.548	15.033	含油水层	
地93-80	2191.875	87.672	64.188	11.905	88.095	15.176	222.098	0.149	0.761	8.469	12.169	58.503	0.461	2.538	15.251	含油水层	
地93-80	2192.000	83.152	63.322	10.745	89.255	15.367	221.554	0.183	0.776	8.883	12.223	58.030	0.456	2.533	15.421	含油水层	
地93-80	2192.125	80.543	62.766	10.236	89.764	15.502	221.254	0.206	0.803	9.123	12.321	57.592	0.454	2.533	15.497	含油水层	
地93-80	2192.250	79.874	62.543	9.924	90.076	15.488	218.706	0.187	0.766	8.927	12.186	58.104	0.456	2.541	15.444	含油水层	
地93-80	2192.375	78.898	62.661	9.124	90.876	15.376	213.253	0.149	0.657	8.460	11.761	59.615	0.458	2.553	15.350	干层	
地93-80	2192.500	75.463	63.146	7.551	92.449	15.309	206.681	0.127	0.540	8.133	11.250	61.279	0.459	2.568	15.347	干层	
地93-80	2192.625	68.868	63.937	5.641	94.359	15.403	200.569	0.130	0.459	8.182	10.846	62.060	0.452	2.583	15.654	干层	
地93-80	2192.750	62.453	64.983	4.175	95.825	16.040	195.640	0.140	0.396	8.336	10.487	62.021	0.437	2.596	16.352	干层	
地93-80	2192.875	58.837	66.238	3.336	96.664	16.833	192.361	0.142	0.345	8.370	10.168	61.675	0.421	2.605	17.191	干层	
地93-80	2193.000	56.728	67.665	2.781	97.219	17.742	190.515	0.144	0.200	8.398	10.000	60.607	0.403	2.613	18.212	干层	
地93-80	2193.125	54.468	69.198	2.474	97.526	18.935	190.285	0.160	0.010	8.609	9.970	59.311	0.389	2.620	19.122	干层	
地93-80	2193.250	54.531	70.793	2.920	97.080	19.409	192.063	0.175	0.010	8.787	9.957	58.631	0.381	2.628	19.623	干层	
地93-80	2193.375	59.568	72.417	4.407	95.593	19.951	196.457	0.169	0.133	8.721	9.960	58.042	0.375	2.638	20.033	干层	
地93-80	2193.500	68.053	74.045	6.805	93.195	20.159	202.871	0.152	0.333	8.507	10.084	57.617	0.375	2.647	20.040	干层	
地93-80	2193.625	78.492	75.653	9.869	90.131	19.856	210.212	0.000	0.367	0.000	10.310	57.444	0.000	2.654	19.629	干层	
地93-80	2193.750	88.997	77.225	18.151	81.849	19.281	217.034	0.000	0.242	0.000	6.384	74.156	0.000	2.657	18.883		
地93-80	2193.875	96.825	78.747	28.723	71.277	18.272	220.877	0.000	0.010	0.000	0.100	99.900	0.000	2.656	17.843		
地93-80	2194.000	100.472	80.195	30.402	69.598	17.185	220.564	0.000	0.010	0.000	0.100	99.900	0.000	2.651	16.922		
地93-80	2194.125	101.259	81.561	30.105	69.895	16.518	217.299	0.000	0.010	0.000	0.100	99.900	0.000	2.644	16.303		
地93-80	2194.250	98.925	82.833	27.942	72.058	15.972	214.385	0.000	0.010	0.000	0.100	99.900	0.000	2.636	15.767		
