井名	深度	GR	SP	SH	RT	AC	PERM	POR	SW	CNL	DEN	RT.1	解释结论	层位
地199-48	2291.875	90.085	-9.814	34.723	18.19	238.387	0.01	0.1	99.9	15.48	2.611	18.106	油层	chang4+5
地199-48	2292.000	83.704	-10.146	29.226	18.734	233.219	0.01	0.1	99.9	14.051	2.605	18.718	油层	chang4+5
地199-48	2292.125	83.878	-10.391	30.524	18.802	230.426	0.01	0.1	99.9	13.162	2.604	18.835	油层	chang4+5
地199-48	2292.250	85.802	-10.577	32.019	18.529	228.802	0.01	0.1	99.9	13.442	2.602	18.592	油层	chang4+5
地199-48	2292.375	85.473	-10.721	31.037	18.051	227.93	0.01	0.1	99.9	14.074	2.6	18.132	油层	chang4+5
地199-48	2292.500	87.005	-10.804	32.895	17.437	227.906	0.01	0.1	99.9	14.597	2.6	17.538	油层	chang4+5
地199-48	2292.625	92.204	-10.786	38.192	16.666	228.911	0.01	0.1	99.9	14.978	2.602	16.796	油层	chang4+5
地199-48	2292.750	98.007	-10.651	43.68	15.672	230.841	0.01	0.1	99.9	15.33	2.606	15.841	油层	chang4+5
地199-48	2292.875	104.825	-10.397	50.828	14.352	233.888	0.01	0.1	99.9	16.012	2.614	14.607	油层	chang4+5
地199-48	2293.000	117.675	-10.008	67.475	12.397	236.814	0.01	0.1	99.9	17.582	2.621	12.748	油层	chang4+5
地199-48	2293.125	140.268	-9.466	99.9	9.854	236.984	0.01	0.1	99.9	21.252	2.619	10.185	油层	chang4+5
地199-48	2293.250	165.933	-8.798	99.9	7.58	236.512	0.01	0.1	99.9	26.656	2.569	7.761		chang4+5
地199-48	2293.375	181.729	-8.077	99.9	6.449	236.714	0.01	0.1	99.9	30.562	2.443	6.436		chang4+5
地199-48	2293.500	176.639	-7.367	99.9	6.693	238.58	0.01	0.1	99.9	32.915	2.299	6.528		chang4+5
地199-48	2293.625	157.466	-6.708	99.9	7.963	239.9	0.01	0.1	99.9	33.623	2.284	7.733		chang4+5
地199-48	2293.750	137.523	-6.08	92.241	9.651	238.805	0.01	0.1	99.9	30.445	2.406	9.413		chang4+5
地199-48	2293.875	120.541	-5.423	68.139	11.475	237.356	0.01	0.1	99.9	23.984	2.531	11.151		chang4+5
地199-48	2294.000	102.923	-4.689	46.392	13.953	236.203	0.01	0.1	99.9	18.288	2.586	13.523		chang4+5
地199-48	2294.125	82.807	-3.899	27.476	17.017	233.569	0.01	0.1	99.9	14.133	2.606	16.664		chang4+5
地199-48	2294.250	65.787	-3.095	15.424	19.364	230.042	0.01	0.1	99.9	10.908	2.627	19.249		chang4+5
地199-48	2294.375	57.934	-2.292	11.463	19.975	225.607	0.01	0.1	99.9	9.607	2.633	20.092		chang4+5
地199-48	2294.500	61.168	-1.529	13.933	19.046	222.742	0.01	0.1	99.9	9.745	2.633	19.235		chang4+5
地199-48	2294.625	70.976	-0.865	21.287	17.674	221.915	0.01	0.1	99.9	10.842	2.64	17.855		chang4+5
地199-48	2294.750	81.279	-0.333	28.758	16.376	223.985	0.01	0.1	99.9	13.091	2.651	16.526		chang4+5
地199-48	2294.875	88.992	0.071	35.175	15.318	229.275	0.01	0.1	99.9	15.668	2.652	15.427		chang4+5
地199-48	2295.000	97.694	0.395	43.88	14.557	235.861	0.01	0.1	99.9	17.199	2.649	14.628		chang4+5
地199-48	2295.125	109.203	0.685	57.102	14.063	242.1	0.01	0.1	99.9	18.37	2.645	14.105		chang4+5
地199-48	2295.250	118.161	0.955	67.627	13.776	247.601	0.01	0.1	99.9	19.618	2.639	13.801		chang4+5
地199-48	2295.375	121.797	1.185	71.178	13.576	253.063	0.01	0.1	99.9	20.492	2.629	13.619		chang4+5
