井名	深度	GR	SP	SH	SS	RT	RT.1	AC	PERM2024	PERM	POR2024	POR	SW	SW2024	CAL	DEN	CNL	RT.2	解释结论	层位
耿203	2227.750	95.959	56.5	57.827	42.173	11.182	12.857	252.499	0.0	0.01	0.0	0.1	99.9	0.0	24.971	2.494	24.869	11.073		长4+5!1^(1_1)
耿203	2227.875	98.203	56.559	58.991	41.009	11.024	13.135	247.839	0.0	0.01	0.0	0.1	99.9	0.0	24.853	2.533	22.955	10.949		长4+5!1^(1_1)
耿203	2228.000	98.555	56.617	57.122	42.878	10.944	13.663	240.287	0.0	0.01	0.0	0.1	99.9	0.0	24.768	2.561	21.254	10.936		长4+5!1^(1_1)
耿203	2228.125	97.163	56.607	53.674	46.326	10.975	14.33	231.94	0.0	0.01	0.0	0.1	99.9	0.0	24.695	2.577	20.034	11.032		长4+5!1^(1_1)
耿203	2228.250	94.26	56.437	45.689	54.311	11.089	15.049	226.039	0.0	0.01	0.0	0.1	99.9	0.0	24.638	2.59	18.615	11.174		长4+5!1^(1_1)
耿203	2228.375	88.536	56.114	37.39	62.61	11.255	15.667	221.627	0.0	0.01	0.0	0.1	99.9	0.0	24.613	2.597	16.768	11.376		长4+5!1^(1_1)
耿203	2228.500	82.514	55.603	32.096	67.904	11.421	15.864	216.234	0.0	0.01	0.0	0.1	99.9	0.0	24.615	2.598	15.172	11.488		长4+5!1^(1_1)
耿203	2228.625	78.215	55.001	28.208	71.792	11.478	15.507	210.786	0.0	0.01	0.0	0.1	99.9	0.0	24.626	2.592	14.294	11.464		长4+5!1^(1_1)
耿203	2228.750	75.111	54.524	26.766	73.234	11.425	14.782	207.792	0.0	0.01	0.0	0.1	99.9	0.0	24.646	2.577	14.352	11.368		长4+5!1^(1_1)
耿203	2228.875	73.876	54.087	26.042	73.958	11.246	13.669	207.19	0.0	0.01	0.0	0.1	99.9	0.0	24.669	2.556	15.422	11.065		长4+5!1^(1_1)
