井名	深度	GR	SP	RT	AC	CNL	DEN	RT.1	RT.2	RT.3	RT.4	RT.5	RT.6	RT.7	RT.8	RT.9	解释结论	层位
苏257	2336.375	120.79	60.803	12.217	289.665	37.278	2.521	13.797	11.501	17.104	11.698	12.173	11.187	11.078	9.537	10.303		chang4+5
苏257	2336.500	121.807	61.537	15.358	290.986	41.708	2.445	10.738	13.892	13.463	14.679	15.35	13.358	13.126	9.393	10.324		chang4+5
苏257	2336.625	116.869	62.199	16.914	302.544	46.655	2.312	7.757	14.874	9.52	16.214	16.96	14.174	13.873	8.879	9.938		chang4+5
苏257	2336.750	114.62	62.722	15.032	318.725	48.475	2.204	5.806	13.029	6.719	14.519	15.125	12.375	12.058	8.147	9.209		chang4+5
苏257	2336.875	113.14	63.112	11.239	338.154	49.871	2.146	4.73	9.778	5.092	10.988	11.346	9.314	9.054	7.322	8.171		chang4+5
苏257	2337.000	108.645	63.402	7.944	354.904	51.322	2.091	4.214	7.098	4.254	7.886	8.042	6.802	6.659	6.659	7.39		chang4+5
苏257	2337.125	105.343	63.605	5.797	349.71	48.004	2.061	4.14	5.411	3.946	5.835	5.872	5.216	5.196	6.268	6.902		chang4+5
苏257	2337.250	103.298	63.716	4.615	331.604	42.683	2.097	4.369	4.512	4.01	4.691	4.675	4.364	4.437	6.214	6.769		chang4+5
苏257	2337.375	101.695	63.724	4.08	312.57	37.832	2.133	5.176	4.156	4.56	4.176	4.133	4.022	4.173	6.5	7.05		chang4+5
苏257	2337.500	106.73	63.641	3.98	291.63	33.525	2.163	7.305	4.185	6.063	4.078	4.026	4.048	4.269	7.087	7.621		chang6
苏257	2337.625	114.567	63.509	4.331	280.547	29.957	2.27	11.139	4.682	8.64	4.437	4.377	4.514	4.84	8.055	8.598		chang6
苏257	2337.750	120.432	63.384	5.41	276.039	27.796	2.439	15.201	6.067	11.63	5.561	5.479	5.796	6.38	9.601	10.284		chang6
苏257	2337.875	125.76	63.314	7.509	270.283	26.579	2.582	17.798	8.805	14.107	7.743	7.63	8.297	9.452	11.636	12.463		chang6
苏257	2338.000	125.898	63.314	10.325	262.821	25.771	2.623	18.915	12.365	15.895	10.62	10.52	11.565	13.417	14.141	15.114		chang6
苏257	2239.125--2338.000(平均)	99.837	61.434	14.256	246.39	27.033	2.521	13.571	13.712	14.255	14.146	14.26	13.891	13.558	19.746	18.986		
苏257	2239.125--2338.000(最大)	156.514	73.772	40.834	354.904	61.328	2.676	26.66	30.211	42.325	37.551	41.144	30.297	26.021	68.1	60.24		
苏257	2239.125--2338.000(最小)	47.227	44.354	3.208	189.836	13.995	1.721	3.308	3.334	3.07	3.261	3.231	3.231	3.346	6.214	6.515		
